Q,A
你所知道的可编程逻辑器件有哪些？,（简单）PROM，PLA，PAL，GAL，（复杂）CPLD（Complex Programmable Logic Device），FPGA（Field Programmable GateArray）
什么是亚稳态，如何解决亚稳态,亚稳态是指触发器无法在某个规定时间段内达到一个可确认的状态。当一个触发器进入亚稳态时，既无法预测该单元的输出电平，也无法预测何时输出才能稳定在某个正确的电平上。在这个稳定期间，触发器输出一些中间级电平，或者可能处于振荡状态，并且这种无用的输出电平可以沿信号通道上的各个触发器级联式传播下去。解决方法主要有：(1)降低系统时钟。(2)用反应更快的触发器（FF），锁存器（LATCH）。(3)引入同步机制，防止亚稳态传播。(4)改善时钟质量，用边沿变化快速的时钟信号。(5)使用工艺好、时钟周期裕量大的器件。
什么是三态与非门(TSL)?,三态与非门有三种状态：(1)门导通，输出低电平。(2)门截止，输出高电平。(3)禁止状态或称高阻状态、悬浮状态，此为第三态。三态门的一个重要用途，就是可向同一条导线(或称总线Y)上轮流传送几组不同的数据或控制信号。
什么是集电极开路与非门(OC门)?,OC门和普通的TTL与非门所不同的是（普通的TTL不可以并联），它用一个外接电阻RL来代替有源负载，实现与非门逻辑功能，OC门逻辑功能灵活，应用广泛。
窄沟道效应的含义？,由于边缘场的影响，沟道区耗尽层在沟道宽度两侧向场区有一定的扩张。当沟道宽度较大时，耗尽层向两侧的扩展部分可以忽略。但是沟道变窄时，边缘场造成的耗尽层扩展变得不可忽略，这样，耗尽层电荷量比原来计算的要大，这就产生了窄沟道效应。
MOS电路的特点,优点1.工艺简单，集成度高。2.是电压控制元件，静态功耗小。3.允许电源电压范围宽。4.扇出系数大，抗噪声容限大。缺点：工作速度比TTL低。
半导体工艺中，掺杂有哪几种方式？,根据掺入的杂质不同，杂质半导体可以分为N型和P型两大类。N型半导体中掺入的杂质为磷等五价元素，磷原子在取代原晶体结构中的原子并构成共价键时，多余的第五个价电子很容易摆脱磷原子核的束缚而成为自由电子，于是半导体中的自由电子数目大量增加，自由电子成为多数载流子，空穴则成为少数载流子。P型半导体中掺入的杂质为硼或其他三价元素，硼原子在取代原晶体结构中的原子并构成共价键时，将因缺少一个价电子而形成一个空穴，于是半导体中的空穴数目大量增加，空穴成为多数载流子，而自由电子则成为少数载流子。
什么是组合逻辑、时序逻辑以及同步时序逻辑？,组合逻辑：输出只是当前输入逻辑电平的函数有关（有延时），与电路的原始状态无关的逻辑电路。（无记忆）由与、或、非门组成的网络，常见的有多路器，数据通路开关，加法器，乘法器等。时序逻辑：输出不只是当前输入逻辑电平的函数，还与电路目前所处的状态有关的逻辑电路。（有记忆）由多个触发器和多个组合逻辑块组成的网络，常见的有计数器，运算控制逻辑，指令分析和操作控制逻辑。同步时序逻辑：表示状态的寄存器组的值只可能在唯一确定的触发条件发生时改变，只能有时钟的正跳沿或负跳沿出发的状态机就是一例。异步时序逻辑：触发条件有多个控制因素组成，任何一个因素的跳变都可以引起触发。
同步电路和异步电路的区别是什么？,同步电路：存储电路中所有触发器的时钟输入端都接同一个时钟脉冲源，因而所有触发器的状态的变化都与所加的时钟脉冲信号同步。异步电路：电路没有统一的时钟，有些触发器的时钟输入端与时钟脉冲源相连，这有这些触发器的状态变化与时钟脉冲同步，而其他的触发器的状态变化不与时钟脉冲同步。
模数转换器（ADC）的含义是什么？,模数转换指的是将输入的模拟量转换为数字量输出，实现这种转换功能的电路称为模数转换器，简称ADC（AnalogDigitalConverter）。ADC按工作原理的不同可分为直接ADC和间接ADC。直接ADC有并联比较型和逐次渐进型等，直接ADC的转换速度快。间接ADC的转换速度慢，如双积分型ADC。并联比较型ADC、逐次渐进型ADC和双积分型ADC各有特点，应用在不同的场合。高速且精度要求不高，可以选用并联比较型ADC。低速、精度高且抗干扰强的场合，可以选用双积分型ADC。逐次渐进型ADC兼顾了两者的优点，速度较快、精度较高、价格适中，应用较为普遍。AD转换要经过采样、保持、量化和编码等过程。采样-保持电路对输入模拟信号进行采样并保持，量化是对采样信号进行分级，编码则将分级后的信号转换成二进制代码。对模拟信号采样时，必须满足采样定理。
数模转换器（DAC）的作用与常用的数模转换器举例。,数模转换器将输入的二进制数字量转换成与之成正比的模拟量。常见的数-模转换电路（DAC）有多种类型：权电阻网络DAC、倒T形电阻网络DAC、权电流网络DAC等。A/D转换=模拟/数字转换，意思是模拟讯号转换为数字讯号。D/A转换=数字/模拟转换，意思是数字讯号转换为模拟讯号。ADC=模拟/数字转换器，DAC=数字/模拟转换器
A/D电路组成、工作原理。,ADC电路通常由两部分组成，它们是：采样、保持电路和量化、编码电路。其中量化、编码电路是最核心的部件，任何ADC转换电路都必须包含这种电路。ADC电路的形式很多，通常可以并为两类：间接法：它是将采样-保持的模拟信号先转换成与模拟量成正比的时间或频率，然后再把它转换位数字量。这种通常是采用时钟脉冲计数器，它又被称为计数器式。它的工作特点是：工作速度低，转换精度高，抗干扰能力强。直接法：通过基准电压与采样-保持信号进行比较，从而转换为数字量。它的工作特点是：工作速度高，转换精度容易保证。
组合电路与时序电路区别,组合逻辑电路是具有一组输出和一组输入的非记忆性逻辑电路，它的基本特点是任何时刻的输出信号状态仅取决于该时刻各个输入信号状态的组合，而与电路在输入信号作用前的状态无关。组合电路是由门电路组成的，但不包含存储信号的记忆单元，输出与输入间无反馈通路，信号是单向传输，且存在传输延迟时间。组合逻辑电路的功能描述方法有真值表、逻辑表达式、逻辑图、卡诺图和波形图等。时序逻辑电路与组合逻辑电路不同，在逻辑功能及其描述方法、电路结构、分析方法和设计方法上都有区别于组合电路的明显特点。在时序逻辑电路中，任意时刻的输出信号不仅和当时的输入信号有关，而且还与电路原来的状态有关，这是时序逻辑电路在逻辑功能上的特点。因而时序逻辑电路必然包含存储记忆单元电路。描述时序电路逻辑功能的方法有：三个方程（输出方程、驱动方程（或激励函数）、状态方程）、状态转换表、状态转换图和时序图等。
你知道那些常用逻辑电平？TTL与COMS电平可以直接互连吗？,常用逻辑电平：12V，5V，3.3V。TTL和CMOS不可以直接互连，由于TTL是在0.3-3.6V之间，而CMOS则是有在12V的有在5V的。CMOS输出接到TTL是可以直接互连。TTL接到CMOS需要在输出端口加一上拉电阻接到5V或者12V。CMOS门的VT=0.5VDD，TTL门的VT一般在1.0～1.4V。CMOS门输出：高电平为VOH=VDD，低电平为VOL=0V。TTL门输出：高电平为VOH=3.6V，低电平为VOL=0.3V。
什么是正负逻辑？,在数字电路中，一般用高电平代表1、低电平代表0，即所谓的正逻辑系统。反之，用高电平代表0、低电平代表1，即所谓的负逻辑系统。
MOS与非门，多余的输入、输出端该怎么接，悬空？接地？接高电位？,门电路中多余的输入端一般不要悬空，因为干扰信号易从这些悬空端引入，使电路工作不稳定。与门和与非门：多余输入端接正电源或与有用输入端并接或门和或非门：多余输入端接地或与有用输入端并接CMOS电路多余输入端与有用输入端的并接仅适用于工作频率很低的场合。TTL电路输入端悬空时相当于输入高电平，CMOS电路多余输入端不允许悬空。
什么是NMOS、PMOS？什么是增强型、耗尽型？什么是PNP、NPN？他们有什么差别？,NMOS是指沟道在栅电压控制下p型衬底反型变成n沟道，靠电子的流动导电。PMOS是指n型p沟道，靠空穴的流动导电。增强型是指不加栅源电压时，FET内部不存在导电沟道，这时即使漏源间加上电源电压也没有漏极电流产生。耗尽型是指当栅源电压为0时，FET内部已经有沟道存在，这时若在漏源间加上适当的电源电压，就有漏极电流产生。PNP由2块P型半导体中间夹着一块N型半导体所组成，载流子以空穴为主。NPN管是由2块N型半导体中间夹着一块P型半导体所组成。
什么是TTL集成电路?,TTL集成电路是一种单片集成电路。在这种集成电路中，一个逻辑电路的所有元器件和连线都制作在同一块半导体基片上。由于这种数字集成电路的输入端和输出端的电路结构形式采用了晶体管，所以一般称为晶体管-晶体管(Transistor-tranSiS-torLogic)逻辑电路，简称TTL电路。
IC设计中同步复位与异步复位的区别。,同步复位在时钟沿到来时复位信号起作用，完成复位动作。异步复位不管时钟，只要复位信号满足条件，就完成复位动作。异步复位对复位信号要求比较高，不能有毛刺，如果其与时钟关系不确定，也可能出现亚稳态。
DSP（数字信号处理芯片）、CPU（中央处理器）、MCU（微控制器）在结构、特点、功能以及用途上的区别？,在设计原理上都是一样的，应用上各具特点，所以结构功能有所不同。DSP为快速处理数字信号而设计，结构上数据、地址总线分开，数据的吞吐量更大。指令集的设计多考虑信号处理。不过现在，为提高微处理器MCU的性能，像ARM在设计上，总线也是分开的。CPU主要是完成指令的处理，外围接口是独立设计的，像存储器，总线控制器是独立的，没有集成到CPU中。而MCU多应用在嵌入式平台，外围的接口是集成在一起的，一颗芯片就能完成。
晶体三极管的开关特性工作在什么区？,工作在截止区和饱和区。此过程包括了4个时间参数：延迟时间Td，上升时间Tr，存储时间Ts，下降时间Tf。开启时间为：延迟时间+上升时间。关闭时间为：存储时间+下降时间。负载能力有灌电流和拉电流负载之分。
逻辑电路选用时主要参数为,逻辑电平、噪声容限、工作速度、功耗。数字逻辑电路分为组合逻辑和时序逻辑电路两类。组合逻辑电路不含记忆元件，输入和输出间没有反馈。用基本逻辑门设计组合电路步骤：1、列真值表2、根据真值表写出逻辑函数表达式。3.将函数化简变换。4、绘制逻辑电路图5、选择逻辑门装配。
描述触发器的方法,1、状态表2、功能表3、状态方程（特征方程）4、波形图（时序图）5、状态图：以图形方式表示输出状态转换的条件和规律。
时序电路划分为哪两种？,米里型和摩尔型。米里型输出信号与存储电路状态和输入变量有关。摩尔型仅取决于存储电路状态。时序电路包括：寄存器、移位寄存器、计数器。同步时序电路分析：激励方程、状态方程、输出方程。
全波整流和半波整流的输出电压各为多少,单相全波一般比半波多三个二极管，半波输出电压有效值是全波的一半，半波0.45U，全波0.9U。
模拟巴特沃斯滤器的极点在S平面上的分布有什么特点？,模拟巴特沃斯滤波器在 S 平面上分布的特点（1）共有2N个极点等角距分布在半径为Ωc的圆上。（2）极点对称于虚轴，虚轴上无极点。（3）极点间的角度距为 π / N。
FFT有哪两种基本算法？其对应的计算流图具有什么特点？,基 2FFT 算法主要有时间抽选和频率抽选两种算法。时间抽选基 2FFT 算法流图的主要特点有：（1）输入为码位序倒置排列，输出为自然序排列。（2）基本计算单元为蝶形单元。（3）具有同址（原位）计算功能。频率抽选基 2FFT 算法流图的主要特点有：（1）输入为自然序列排列，输出为码倒置序排列，对输出要变址。（2）基本计算为蝶形计算。（3）具有同址（原位）计算功能
使用窗函数设计FIR滤波器时，一般对窗函数的频谱有什么要求？这些要求能同时得到满足吗？为什么？,要求窗函数频谱的主瓣尽可能高和窄，旁瓣尽可能短和小。但是这是不能同时得到的。因为经分析，主瓣增高时，旁瓣也要增高，所以只能采用折中的方法。
数字滤波器分为哪几种类型？用差分方程来描述时有什么不同？它们各有什么特性？,数字滤波器有无限冲激响应（IIR）和有限冲激响应（FIR）两大类。用差分方程描述时，IIR DF具有反馈支路，FIR DF无反馈支路。IIR的主要特性有：①冲激响应无限长②具有反馈支路，存在稳定性问题③系统函数一般为一个有理分式，具有极点和零点④一般为非线性相位。FIR主要特性有：①冲激响应有限长②无反馈支路，不存在稳定性问题③系统函数为一个多项式，只有零点④具有线性相位。
请阐述线性卷积、周期卷积、循环卷积有什么不同？又有什么关系？,两个周期序列的卷积称为周期卷积，其计算步骤与非周期序列的线性卷积类似。循环卷积与周期卷积并没有本质区别，其可以看作是周期卷积的主值。但是循环卷积和线性卷积有明显的不同，循环卷积的是在主值区间中进行的，而线性卷积不受这个限制。
N阶模拟切比雪夫器的极点在S平面上的分布有什么特点？可由哪些极点构成一个因果稳定的系统函数Ha(s)？,N阶模拟切比雪夫滤波器极点在S平面上分布的特点：（1）共有2N个极点等角距分布在椭圆上（2）极点对称于虚轴，虚轴上无极点（3）极点间的角度距为 π / N。可以用S平面左边N个极点来构成因果稳定的系统函数。
在IIR数字滤波器设计中，从模拟滤波器转换为数字滤波器主要有哪几种方法？设计FIR数字滤波器有哪些方法？,在IIR数字滤波器设计中，从模拟滤波器转换为数字滤波器主要有冲激响应不变法、双线性变换法及单位响应法。设计FIR数字滤波器有窗函数法、频率取样法及等波纹逼近法。
比较IIR数字滤波器与FIR数字滤波器的特点,(1)FIR滤波器总是稳定的，而由于有限字长IIR滤波器可能会不稳定(2)满足同样的性能指标，IIR滤波器可以用比FIR少得多的阶次的滤波器，从而使得运算量和存储量都要小得多(3)IIR是非线性相位的，而FIR可以实现严格线性相位(4)IIR滤波器可利用模拟滤波器现成的公式、数据和表格，而FIR滤波器的设计没有现成的设计公式。(5)IIR滤波器主要是设计规格化、频率特性为分段常数的标准低通、高通、带通、带阻和全通滤波器，而FIR滤波器可以设计出任意幅度响应曲线的滤波器，适应性更广泛。
设进行线性卷积的两个序列x1(n)和x2(n)的长度分别为M和N，在什么条件下它们的循环卷积结就是线性卷积？,在它们的后面添加零，使它们成为长度L＝M+N-1的序列，再求它们的L点的循环卷积，结果序列长度为L。则循环卷积结果就是线性卷积。
请说明在基2FFT算法中，什么是变址运算、同址运算？如何化“混序”为有序？,同址计算是指每一级蝶形输入与输出在运算前后可以存储在同一地址（原来位置上）的存储单元中，这种同址运算的优点可以节省存储单元。变址计算是指按自然顺序输入存储的数据，经过变址计算后将自然顺序转换为码位倒置顺序存储。化“混序”为有序过程：先把十进制序号化为二进制，再进行代码反转，再化为十进制序号即可。
离散卷积图解法的四个步骤是什么？,离散卷积图解法的运算过程包括了反折、平移、乘积、取和四个步骤。
在A/D变换之前和D/A变换之后都要让信号通过一个低通滤波器，它们分别起什么作用？,在A/D变化之前让信号通过一个低通滤波器，是为了限制信号的最高频率，使其满足当采样频率一定时，采样频率应大于等于信号最高频率2倍的条件。此滤波器亦称位“抗折叠”滤波器。在D/A变换之后都要让信号通过一个低通滤波器，是为了滤除高频延拓谱，以便把抽样保持的阶梯形输出波平滑化，故友`“平滑”滤波器。
何谓最小相位系统?,一个有理系统函数，如果它的零点和极点都位于单位圆内，则有最小相位。一个稳定因果的滤波器，如果它的逆系统也是稳定因果的，则称这个系统是最小相位系统。
在离散傅里叶变换中引起混迭效应的原因是什么？怎样才能减小这种效应？,因为采样时没有满足采样定理，减小这种效应的方法：采样时满足采样定理，采样前进行滤波，滤去高于折叠频率 fs / 2 的频率成分。
试说明离散傅里叶变换与Z变换之间的关系。,离散傅立叶变换是Z变换在单位圆上的等间隔采样。
试述用DFT计算离散线性卷积的方法。,"计算长度为M,N两序列的线性卷积，可将两序列补零至长度为M+N-1,而后求补零后两序列的DFT，并求其乘积，最后求乘积后序列的IDFT，可得原两序列的线性卷积。"
补零和增加信号长度对谱分析有何影响？是否都可以提高频谱分辨率?,时域补零和增加信号长度，可以使频谱谱线加密，但不能提高频谱分辨率。
解释DFT中频谱混迭和频谱泄漏产生的原因，如何克服或减弱？,如果采样频率过低，再DFT计算中再频域出现混迭线性，形成频谱失真。需提高采样频率来克服或减弱这种失真。泄漏是由于加有限窗引起，克服方法是尽量用旁瓣小主瓣窄的窗函数。
什么是吉布斯（Gibbs）现象?窗函数的旁瓣峰值衰耗和滤波器设计时的阻带最小衰耗各指什么，有什么区别和联系？,"增加窗口长度N只能相应地减小过渡带宽度，而不能改变肩峰值。例如，在矩形窗地情况下，最大肩峰值为8.95%; 当N增加时，只能使起伏振荡变密，而最大肩峰值总是8.95%,这种现象称为吉布斯效应。旁瓣峰值衰耗适用于窗函数，它是窗谱主副瓣幅度之比，即旁瓣峰值衰耗=20lg(第一旁瓣峰值/主瓣峰值)。阻带最小衰耗适用于滤波器。工程上习惯于用相对衰耗来描述滤波器。滤波器是用窗口法得出时，阻带最小衰耗取决于窗谱主副瓣面积之比。吉布斯效应可以通过适当选择窗函数的方法加以改善。"
用DFT对连续信号进行谱分析的误差问题有哪些？,混叠失真，截断效应（频谱泄漏），栅栏效应
简要说明模拟信号数字化处理的流程图中包含的每一部分及其分别的功能作用。,第1部分：滤除模拟信号高频部分。第2部分：模拟信号经抽样变为离散信号。第3部分：按照预制要求对数字信号处理加工。第4部分：数字信号变为模拟信号。第5部分：滤除高频部分，平滑模拟信号。
简述用双线性法设计IIR数字低通滤波器设计的步骤。,确定数字滤波器的技术指标：将数字滤波器的技术指标变成模拟滤波器的技术指标，按模拟滤波器的技术指标设计模拟低通滤波器，将模拟低通滤波器转换成数字低通滤波器。
栅栏效应是怎样造成的，能否克服，如能克服的话应该怎样克服。,离散傅立叶变换DFT结果为离散序列，因而只能分析离散点上的频谱情况。所观察到的频谱成分只是基频及其整数倍处的频谱，不能观察到所有的频谱成分，因而称为栅栏效应。栅栏效应不能克服，只能减小。减小栅栏效应的方法是增加抽样点数。
增加N值，可以提高DFT的频率分辨率吗？,增加N值可以使DFT的谱线加密，即可以提高DFT的计算频率分辨率，但实际的物理频率分辨率并没有改变。
截断会使信号的频谱发生什么变化？,截断实际上是在时域进行乘积，由傅里叶变换的特性，时域乘积会导致频域作卷积，因此，截断后信号的频谱等于原信号的频谱与窗函数的频谱作卷积。
什么样的数字系统可以称为物理可实现系统？,因果的稳定系统可称为物理可实现系统。
用非矩形窗函数设计FIR滤波器的目的是什么？,克服吉布斯效应，获得更大的阻带衰减。
第二类FIR滤波器的幅度函数在Ω=π处为奇对称形式。试说明由于这个特点，此类滤波器不能构成何种通带形式的滤波器。,由于第二类FIR滤波器幅度函数的奇对称特点，此类滤波器不能构成高通滤波器形式。
试述对于采用频率抽样法设计的FIR低通滤波器，采用何种方法可以减小通带和阻带内频率特性的波动。,在截止频率处插入若干过渡点可以减小通带和阻带内的频率特性波动。
对于采用窗口法设计的FIR低通滤波器，采用何种方法可以减小过渡带的宽度。,选择合适的窗函数及增加抽样响应h(n)的长度。
冲激响应不变法和双线性变换法的应用分别有什么限制？,冲激不变法不能用于将模拟高通滤波器转换成数字高通滤波器，因为频响严重混迭，双线性变换法不能将模拟微分器转换成数字微分器，因为由频响畸变导致具有线性幅度响应的模拟微分器映射到数字系统成为非线性的幅度响应。
非均匀量化的目的是什么？,首先，当输入量化器的信号具有非均匀分布的概率密度时，非均匀量化器的输出端可以得到较高的平均信号量化噪声功率比。其次，非均匀量化时，量化噪声对大、小信号的影响大致相同，即改善了小信号时的量化信噪比。
数字通信有何优点？,差错可控。抗干扰能力强，可消除噪声积累。便于加密处理，且保密性好。便于与各种数字终端接口，可用现代化计算技术对信号进行处理、加工、变换、存储。便于集成化，从而使通信设备微型化。
在PCM系统中，信号量噪比和信号（系统）带宽有什么关系？,PCM系统的输出信号量噪比随系统的带宽B按指数规律增长。
什么是带通调制？带通调制的目的是什么？,用调制信号去调制一个载波，使载波的某个（些）参数随基带信号的变化规律去变化的过程称为带通调制。调制的目的是实现信号的频谱搬移，使信号适合信道的传输特性。
什么是奈奎斯特准则？什么是奈奎斯特速率？,为了得到无码间串扰的传输特性，系统传输函数不必须为矩形，而容许具有缓慢下降边沿的任何形状，只要此传输函数是实函数并且在f=W处奇对称，称为奈奎斯特准则。同时系统达到的单位带宽速率，称为奈奎斯特速率。
什么是多径效应？,在随参信道当中进行信号的传输过程中，由于多径传播的影响，会使信号的包络产生起伏，即衰落。会使信号由单一频率变成窄带信号，即频率弥散现象。还会使信号的某些频率成分消失，即频率选择性衰落。这种由于多径传播对信号的影响称为多径效应。
什么是调制？调制在通信系统中的作用是什么？,所谓调制，是指按调制信号的变化规律去控制高频载波的某个参数的过程。作用是：将基带信号变换成适合在信道中传输的已调信号。实现信道的多路复用，改善系统抗噪声性能。
FM系统的调制制度增益和信号的带宽的关系如何？这一关系说明什么问题？,G_FM=3/2的m_f的平方乘以B_FM/f_m。说明在大信噪比的情况下，宽带调频系统的制度增益是很高的，也就是说抗噪声性能好。
什么是码间串扰？它是怎样产生的？对通信质量有什么影响？,码间串扰是由于系统传输总特性不理想，导致前后码元的波形畸变、展宽，并使前面波形出现很长的拖尾，蔓延到当前码元的抽样时刻上，从而对当前码元的判决造成干扰。码间串扰严重时，会造成错误判决。
如何评价模拟通信系统及数字通信系统的有效性和可靠性？,模拟通信系统：已调信号带宽越小，有效性越好，解调器输出信噪比越高，可靠性越好。数字通信系统：频带利用率越高，有效性越好，误码率越小，可靠性越高。
简述CRC编码校验过程,（a）在发端，将待发送数据多项式T(x)乘以x的k次幂，其中k为生成多项式G(x)的最高次幂。（b）将T(x) 乘以x的k次幂除以生成多项式G(x)，得Q(x)+R(x)/G(x)。（c）将T(x)乘以x的k次幂十R(x)所对应的比特序列作为一个整体送入信道发送。（d）在收端，对接收序列对应的多项式T(x) 的导数乘以x的k次幂进行同样的运算，得到余数多项式R(x)的导数。(e) 比较两余数多项式R(x)和R(x)的倒数。若两者相等，则认为传输正确。若不相等，则认为传输有错。
增量调制中会产生哪两种噪声，分别是怎样形成的，如何改善？,调制会产生两种噪声：一般噪声和过载量化噪声，前者是有在量化时抽样值与量化电平的误差产生的，后者是由于台阶信号的变化速度赶不上模拟信号的变化速度造成的，要改善前者可通过减小量化台阶，改善后者可通过增大采样频率来实现
数字通信有哪些特点?,与模拟通信相比，数字通信的优势主要有：抗干扰能力强，数字信号可以再生而消除噪声积累。传输差错可控，能改善传输质量。易于使用现代数字信号处理技术对数字信号进行处理。易于加密，可靠性高。易于实现各种信息的综台传输。但数字通信的缺点是：系统设备复杂，对同步要求高，比模拟通信占据更宽的系统频带等。
按消息的物理特征，通信系统如何分类？,按消息的物理特征，通信系统可以分为电报通信系统、电话通信系统、数据通信系统、图像通信系统等。
按调制方式。通信系统如何分类?,按调制方式，通信系统可以分为基带传输系统和频带(调制)传输系统。
按传输信号的特征，通信系统如何分类？,按传输信号的特征，通信系统可以分为模拟通信系统和数字通信系统
按传送信号的复用方式，通信系统如何分类？,按传送信号的复用方式，通信系统可分分为频分复用通信系统、时分复用通信系统和码分复用通信系统等。
通信方式是如何确定的?,对于点与点之间的通信，按消息传送的方向与时间关系，通信方式可分为单工通信、半双工通信及全双工通信三种。若消息只能单向传输，这种工作方式则为单工通信方式。若通信双方都能收发消息．但不能同时进行收发，这种工作方式则为半双工通信方式。若通信双方可同时进行收发消息，这种工作方式则为全双工通信方式。
通信系统的主要性能指标是什么?,通信系统的主要性能指标是传输信息的有效性和可靠性。有效性是指在传输一定的信息量所消耗的信道资源的多少，信道的资源包括信道的带宽和时间。而可靠性是指传输信息的准确程度。有教性和可靠性始终是相互矛盾的。在一定可靠性指标下，尽量提高消息的传输速率。或在一定有效性条件下，使消息的传输质量尽可能提高。根据香农公式，在信道容量一定时．可靠性和有效性之间可以彼此互换。
什么是误码率?什么是误信率？它们之间的关系如何?,误码率P_e是指错误接收的码元数在传送总码元数中所占的比例，即码元在传输系统中被传错的概率。误信率P_b是指错误接收的信息量在传送信息总量中所占的比例，即码元的信息量在传输系统中被丢失的概率。二进制系统中误码率P_e与误信率相等，但在多进制系统中，误码率P_e与误倍率P_b一般不相等，通常P_e>P_b。
什么是码元速率？什么是信息速率？它们之间的关系如何？,码元速率R_B定义为每秒钟传送码元的数目，单位为“波特”，常用符号“B”表示，又称为码元传输速率或传码率。信息速率R_b定义为每秒钟传递的信息量，单位是比特/秒（bit/s或bps）。设通信系统传送N进制码元，则码元速率R_B与信息速率R_b之间的关系为R_b=R_Blog_2N(bit/s)
未来通信技术的发展趋势如何？,未来通信技术主要以数字通信为发展方向。随着光纤通信的不断发展，有线通信将以光纤通信为发展方向，当前主要研究单模长波长光纤通信、大容量数宇传输技术和相干光通信。卫星通信集中体现在调制／解调、纠错编码／译码、数字信号处理、通信专用超大规模集成电路、固态功放和低噪声接收、小口径低旁瓣天线等多项新技术的发展。移动通信的发展方向是数字化、微型化和标准化。
什么是多径效应？,在随参信道当中进行信号的传输过程中，由于多径传播的影响，会使信号的包络产生起伏，即衰落。会使信号由单一频率变成窄带信号，即频率弥散现象。还会使信号的某些频率成分消失，即频率选择性衰落。这种由于多径传播对信号的影响称为多径效应。
什么是调制信道？,调制信道是为了方便研究调制与解调问题而定义的。它是指通信系统中调制器输出端到解调器输入端的部分。
什么是编码信道？,编码信道是为了便于研究数字通信系统中的编码与译码问题而定义的。它是指通信系统中编码器输出端部分到译码器输入端的部分。
什么是恒参信道？,若信道的传输特性基本不随时间变化，即信道对信号的影响是固定的或变化极为缓慢，这类信道称为恒定参量信道，简称为恒参信道。
什么是随参信道？,若信道的传输特性随时间随机快变化，这类信道称为随机参量信道，简称为随参信道。
哪些属于恒参信道?,目前常见的信道中，明线、对称电缆、同轴电缆、光纤、微波中继、卫星中继等属于恒参信道
哪些属于随参信道?,短波电离层反射信道、对流层散射信道等则属于随参信道。
如图为传输信道的模型，试写出相互间的关系表达式并作简要解释？,相互间的关系表达式为：y(t)=k(t)x(t)+n(t)表达式解释：输出y(t)中k(t)为乘性干扰，主要由信道的传输特性决定。n(t)为加性干扰主要指外界叠加的干扰。
简述恒参信道和随参信道对数字信号传输的影响及克服方法？,恒参信道信号传输的影响是引起幅频特性和相频特性的畸变，从而最终导致产生码间干扰。克服方法主要是采用均衡技术。随参信道对信号传输的影响是引起衰落，克服方法主要是分集接收。
何为香农公式中的“三要素”？简述信道容量与“三要素”的关系？,香农公式中“三要素”为：信道带宽、噪声功率谱密度和信号平均功率。“三要素”的关系：理论上当S趋于无穷或n_0趋于0时信道容量趋于无穷。即使传输带宽无穷大，此时的信道容量也是有限的，因为此时的噪声功率也趋于无穷大。
试用香农公式来解释调频方式与调幅方式性能上的优劣关系。,香农公式表示在信道容量一定的情况下，信道带宽越宽（有效性下降），则要求信道提供的信噪比可以越小（可靠性提高），即可以提高抗干扰能力。对于调幅方式，其占用的频带要比调频方式占用的频带小，而抗干扰能力则要比调频方式的差，这正好符合香农公式所反映的两者间关系
什么叫抽样、量化和编码？,抽样 ：将时间上连续的信号处理成时间上离散的信号。量化：对时间上离散的信号处理，使其在幅度上也离散。编码：将量化后的信号样值幅度变换成对应的二进制数字信号码组过程
非均匀量化的目的是什么？,首先，当输入量化器的信号具有非均匀分布的概率密度时，非均匀量化器的输出端可以得到较高的平均信号量化噪声功率比。其次，非均匀量化时，量化噪声对大、小信号的影响大致相同，即改善了小信号时的量化信噪比。
抽样的任务是什么？抽样后的信号称为什么？,抽样的任务是让原始的模拟信号在时间上离散化，抽样后的信号为PAM信号.
为什么要进行量化？8位二进制码可以表示多少种状态？,量化是让信号在幅度上离散化，8位二进制码表示28=256种状态
PCM通信能否完全消除量化误差？为什么？,量化是用有限个值代替了无限个值，用量化值和其所代表的样值之差来作为量化噪声，该噪声只能通过增加量化级数，即减小量化级长的方法来减弱，但无法消除。
PCM通信中发端抽样后和收端分路后各有一个3.4KHZ的低通波波器，这两者作用各有什么不同？,发端滤波器的作用是：限制输入信号的最高频率，以免抽样电路对该信号抽样时不满足抽样定理而产生折迭噪声，收端滤波器的作用是：从PAM信号中检出包络线，即取出原始信号的波形（低频分量），实现原始模拟信号的还原。
对于均匀量化编码，若信号幅度Vm小一倍，信噪比变化多少？," S/N=6n+2+20lgVm/V=20 ,Vm减小一倍，则S/N减小6dB"
抽样后为什么要加保持电路？,"抽样进为防止相邻话路样值在公共通道上挨得太近会导致串音以及样值脉冲顶部不平坦导致不能选取量化标准.抽样脉冲的宽度通常取得很小,一般远小于一个时隙的宽度,即n位码宽,所以在抽样后编码前加保持电路,将样值脉宽展宽为一个时隙宽度。"
非均匀量化的实质是什么？,压缩扩张和均匀量化结合形成非均匀量化，在发端均匀量化前通过扩张提高小信息的幅度，即可提高信噪比，在收端再通过相逆压缩对小信息幅度还原。
自适应量化的基本思想是什么？自适应预测的基本思想又是什么？,自适应量化是使量化级差跟随输入信号变化，使不同大小的信号平均量化误差最小，从而提高信噪比。自适应预测的基本思想是使预测系数跟随输入信号而变化，从而保证预测值与样值最接近，即预测误差最小。
PCM基群系统常用的测试指标有那些？,传输电平和净衰减、频率特性、总信噪比、空闲信道噪声、路际可懂串音防卫度。
